,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
1,9.0,Yes,0.0,0.0,Yes,0.0,3.0,Introvert
2,9.0,Yes,1.0,2.0,Yes,5.0,2.0,Introvert
8,10.0,Yes,1.0,3.0,Yes,0.0,3.0,Introvert
11,10.0,Yes,3.0,1.0,Yes,4.0,0.0,Introvert
16,9.0,Yes,0.0,0.0,Yes,0.0,0.0,Introvert
20,10.0,Yes,3.0,1.0,Yes,2.0,1.0,Introvert
23,9.0,Yes,2.0,2.0,Yes,1.0,0.0,Introvert
33,8.0,Yes,3.0,3.0,No,2.0,0.0,Introvert
34,10.0,Yes,1.0,1.0,Yes,3.0,2.0,Introvert
38,10.0,Yes,1.0,2.0,Yes,2.0,0.0,Introvert
42,9.0,Yes,1.0,3.0,Yes,2.0,2.0,Introvert
44,8.0,Yes,2.0,1.0,Yes,5.0,3.0,Introvert
47,10.0,Yes,1.0,2.0,Yes,2.0,0.0,Introvert
52,9.0,Yes,0.0,2.0,Yes,3.0,2.0,Introvert
53,8.0,Yes,3.0,1.0,Yes,1.0,2.0,Introvert
56,9.0,Yes,3.0,2.0,Yes,4.0,3.0,Introvert
61,9.0,Yes,2.0,3.0,Yes,4.0,2.0,Introvert
62,7.0,Yes,3.0,1.0,Yes,2.0,3.0,Introvert
65,10.0,Yes,3.0,1.0,Yes,0.0,2.0,Introvert
69,7.0,Yes,3.0,2.0,Yes,1.0,2.0,Introvert
70,8.0,Yes,3.0,3.0,Yes,4.0,0.0,Introvert
73,8.0,Yes,0.0,1.0,Yes,0.0,2.0,Introvert
74,10.0,Yes,2.0,0.0,Yes,3.0,1.0,Introvert
75,7.0,Yes,3.0,3.0,Yes,2.0,0.0,Introvert
78,8.0,Yes,0.0,1.0,Yes,5.0,0.0,Introvert
83,7.0,Yes,1.0,0.0,No,3.0,1.0,Introvert
92,9.0,Yes,1.0,1.0,Yes,1.0,3.0,Introvert
99,8.0,Yes,1.0,0.0,Yes,4.0,2.0,Introvert
104,7.0,Yes,1.0,2.0,Yes,3.0,3.0,Introvert
109,9.0,Yes,0.0,3.0,Yes,1.0,0.0,Introvert
113,7.0,Yes,0.0,3.0,Yes,1.0,0.0,Introvert
118,10.0,Yes,0.0,3.0,Yes,0.0,1.0,Introvert
121,10.0,Yes,2.0,3.0,Yes,2.0,2.0,Introvert
123,7.0,Yes,2.0,3.0,Yes,1.0,2.0,Introvert
128,10.0,Yes,0.0,1.0,Yes,5.0,3.0,Introvert
132,8.0,Yes,1.0,1.0,Yes,2.0,3.0,Introvert
136,10.0,Yes,2.0,1.0,Yes,5.0,3.0,Introvert
137,9.0,Yes,3.0,2.0,Yes,3.0,2.0,Introvert
141,10.0,Yes,3.0,3.0,Yes,5.0,3.0,Introvert
146,9.0,Yes,1.0,0.0,Yes,0.0,0.0,Introvert
150,7.0,Yes,2.0,2.0,Yes,3.0,2.0,Introvert
153,9.0,Yes,2.0,3.0,Yes,0.0,1.0,Introvert
155,8.0,Yes,1.0,2.0,Yes,3.0,3.0,Introvert
166,10.0,Yes,0.0,3.0,Yes,4.0,3.0,Introvert
167,9.0,Yes,2.0,2.0,Yes,1.0,1.0,Introvert
175,8.0,Yes,2.0,2.0,Yes,1.0,1.0,Introvert
183,7.0,Yes,0.0,2.0,Yes,3.0,2.0,Introvert
185,10.0,Yes,1.0,0.0,Yes,0.0,3.0,Introvert
186,9.0,Yes,2.0,0.0,Yes,2.0,1.0,Introvert
187,10.0,Yes,0.0,1.0,Yes,1.0,1.0,Introvert
188,7.0,Yes,2.0,1.0,Yes,1.0,2.0,Introvert
193,9.0,Yes,2.0,3.0,Yes,2.0,1.0,Introvert
194,8.0,Yes,0.0,0.0,Yes,1.0,2.0,Introvert
198,10.0,Yes,0.0,0.0,Yes,3.0,0.0,Introvert
